Address,ADA Value
addr1q9v0p028kx9hp9yfxytm54p5k4t408lufm098sdrpwjwpgmtlm4cmxma3xv7zkj02xlzyymr9g5zadm967j7ry7epcxq7vsgpk,410.51
addr1q99hjus8vk4cvf8x6pxceg64jgnqypp0qnttdm3dpy4d3pfq05z6crum6gx5nxvxvfpe8nq3fdf9h5segwnpjtvjsqsshxwxnx,391.50
addr1q9za0jqy3m08qyhajsv09mrtq3h6053x3xqvuraemthfr9wr7uqrhzen96zsvdp6rcj2qt64sf3xj6p50j9dsj7ledcqk6nyhj,387.89
addr1qx2he3wrdf2hck34t8ej7ugvy23na9dprck5f8l9tlm7f96q2j3t599sx3qergddpjn065h9clss2hvfx59dt760e2nq6gupal,360.23
addr1q84c2eggrx89y39eleqvk4techr8l9x2a470aavddsm9umq2x9nyalh2rxzjwtr4x89ja3sq2xk6wyu3qhk3yflxukqqe5fzrs,347.64
addr1qyp772czuk54yyeq409q47fjuc9qer9qet84v8d2dhw6vlz2axe7na0lwdl3lfkskpukjn7ya8vq9c54zcjxqxpussgqs0lvxm,328.68
addr1qxnk4usqr4x2ysgqy08h0j3wez5agcu79jvfnl6dkw4smpfmjuvjp3cl2erdylf8q9kyh4mg3cwwqgw5nzj08emc5vkssrjpp5,324.77
addr1q8527h0glznp3uvf58ehr24z39q5ehkgqvjjmjcz0lvlguwn8nl4nvcnt7250h5txwhwxu4e7ur5swp84jc7zcrtgsvqhnhs9r,309.74
addr1qym8fkjq9h9wcjv9x3vytuapvye9a8ujnymmvcvwu92059mx4uty83yrn2ttnqnhyjz4ahjwsr3wjqmec25lutg0c3gqsgsncw,307.47
addr1q9lalkdr4v65llwkmmy3g6vafqzh8nd3632wsrevklyaz39ylc7ucu0e2jcqc0jqhljqtj0lqu0exzutlw74xz9dzg6q7p92av,296.40
addr1q8upn8q3x2qr98hyexvvuva938t58lw2euc0jqg45zdsafhng0g9rx88yrytzvtvanwh5uaku3quvthh30cxdhtc6hqqh3u02g,283.33
addr1q94m0jww6qms9tkuy6s4de23u5xgg53v3rv0r3v5m4ehn9nqk2l72j0mshg6ya8zfn0xjqzde8x7td4mpd3y6qcvjxtshv7n0r,282.14
addr1q8hdcm460vf40nmxnsnl6hvsyfudyjy0hamz2e2apsutwpc6dqchz2egt2jf6wgfal5s9c4j0qunu8ug6xkl7hrang5sw4yv3p,262.01
addr1qx6s83tkvs0zvvfg8wrawlegr2pph9mvcmkc6a7kr5a0atzjc0v5gfejacza0pthtq2729nhcjyhtnlgzgc4g0f5xwpstppeuw,255.29
addr1qyzfu5plchzuchvpp8klp8wvt5y7w5flnklaha6yayj8jvm2ymz2m8j0wcdmyevj52uj57rj8xcek2ml7e6nuz92ym8qwf34cv,255.12
addr1q87p4g3j6edaf2jgf8ma9lmep85xhrvc8ks3fn2amt7alf4vl58ydueg86q74s62naw820yz79qvpu9chn8rj2at20hstlq2p9,248.14
addr1q9g5dug46y6q398apyspayqc2uwleg5m7c2937glzmj4paxggzpvyh9r33wc5rz2etkm508ywf53g2q6et9xcfe0h2eq8hzvmr,246.41
