Address,ADA Value
addr1q8xe3n04xlcffjjajzmz98q338ms00kgwxedd244gx5j0cqh0a89julw7yxe7n3fd79cc6ll9whfvqx0gckjyc5959uqryl49q,98.68
addr1q884g5pqqfn5vnchajnafg37uryf979mdux5vjutt6aqcum2vkp9rks5zhwn2kn25yfnmp353x96adq6q50mvxwsnlqqqa5znp,93.41
addr1q8xkajn4sph8jxt2xj90qfxt8qctnjzmj5t2twfdxm22vvp9rmxwp4ugs34pru36p6z0smtetr0xxthqa3yu7ywkvf0qc0jx7y,89.62
addr1qyqmlavtlzysvdqnm0e0a36lw06v6hqrju7dmu50p8rgzsxk0g82tdnp9hzfesamgrl564kcxzvklj4zfefy5ra45z9sqkdayw,87.04
addr1q8fvw3vccuhm9gpk7hsk0z9cfl7pv820wdpfgq2jmw9c7q4w9p3x34q8fdtfzsqdz8rge7vz8ldyv3mjn389q75jehqqcz90l4,85.25
addr1q9ck5xd77zr43r0k2fgrsqw63ad77qzl7t50u434v2xmn0f6erxluate43at5y2l023q5scg5yvfwcq9w6ma2fhpky0s94j72r,84.05
addr1qywj0nvp3qajk66r9evw5s8k9v0w68x3s7vlfys8yzkmzt46hzgcdc2ex9zhua30x05ywh5ttj3ulqfjhlx45mzlfwksqs4q9m,82.91
addr1q99l9cclx07gyfe8866ypsj49ahzgcu454mce37zwyz8nvz5qypd9c3zfnwr4p4f2zmvqu9lg9thuer4smu0ssrsu3mq0azdh9,82.07
addr1qyckzdlwux8fx44elpyj566udvmlkwkwlyaj0vp4xp33zff3q6pgy3uvwp53ypmwr0ze0uwclpjssjzz4p8jqmzfn0gs6y3w6g,78.89
addr1q98d2cqggjr26m4ydwgya8ngltex2jdef4kvffw72e58z5urj9pl0jhp6pq9q9nymwp7pqh44258rzzwmkks8zhr98vslzjxd3,74.84
addr1q9ttkuefk4rzgq9kgjlwhju4tfwvph35pvfxnpukjjhpk86g348309vwjmkhumwwlw7eeunewz7m7xkvcc3d75n4nvwq2gkaed,72.63
addr1q85pk49037arvwnnda7dweswutalt2eu94qlevcyyd42jfqg438ncnke5ddyz3jrnhlpw0yh9jn5y7c7tpaufua586vs2sxgjx,72.61
addr1qxtmtwt73pl35r537ljk9xu0xz4evmdwzcqpaz75nuqtjt5sjuyxga8tez99uan2kpws62tey7l0x4e3rgulc326zc3slfj38l,72.31
addr1qxdfdyyc526t0ykgtud4wrkwtzj246l5e2mxkqp7g9xmed42edwadrtuakyyqehzg78uqmasqj7fc826a4fe2xrc99gsm36zes,72.30
addr1qyavx8j9rcfxxn9x0h7kya909fcdahglsnzutx6us8lacnkm3sefel3kplxhn7ey2zd8xzyx49zgsgcfflm3cyvamr9stpzlaa,69.20
addr1qx76su5yjte3d0jgx02spczp3jyszd2c9va2pv7t53m6pty3jtwt246phvv6g8dhzx8wxzpfjs7dxx7gs8mkeuzkcafs4pamnp,69.04
addr1qxhw2eq470swvrde0fgdaa0jjjtkyjht678ar5wymygzna809psc8c5mw5c5lvyg8ln62xus74lpvfan8vzk56hlkrqqq24yf2,68.49
addr1qyadpydfu4qzqe2hcaq4p97g8jcpjgke5qse9vf2q683wmf50t5dy537mpfhn7utdw9uvsertcg0zmv5drea8tfz6scqcdlx54,67.16
addr1q9ew749r3u8gh25xmg6wv3h6mpxzj95jc89rvmfvc5ys3puakl4l3fq2ags49vd95vk3aekh530yd8h8wvj3z28wc5lqk6m37v,65.87
addr1qxm5ls50mr6lap3xq2r8x8g8dw4nkl97hqzz63hawq7d2h3vye7f2m3leksa8ee7z3t5ysxzmp969xd7guq602737pqqrpmnjz,65.03
addr1q9t2fphu3knu0ujfparzf5s4ge8he4ug3qwvqduyz86unj34jkjajztxv63xesru6htkwuqlanudmuchuttg48qtdlds908ljl,64.45
addr1q9w2ap6lgj0cyewssfw4t40wreedm2t47xuyafx8lmfuljyn47rj9g9fgce3nq9g7k7krdh9a02klv4rj266d3lf69nqtaxuj8,63.31
addr1q9c439tmwmzdyc72cz9exg24e6cfgcthdpz753pnyr7d2zzvzy0wrqju69x7hg7r45f4p58qw8tg30ctmakwvlkl6rkq78epmd,62.44
